X:0.1,Y:0.1,X:0.02,Y:0.02,X:0.04,Y:0.04,,,,,,,,,,,,,,,,,,,,,,,ID
0.4744233,0.775217,0.1703296,0.141007,0.3785355,0.611527,,,,,,,,,,,,,,,,,,,,,,,
0.48324,0.794246,0.1754146,0.16219,0.3832813,0.632713,,,,,,,,,,,,,,,,,,,,,,,
0.4913776,0.817526,0.1818573,0.178055,0.3889614,0.644339,,,,,,,,,,,,,,,,,,,,,,,
0.5,,0.1871975,0.193929,0.3973542,0.66231,,,,,,,,,,,,,,,,,,,,,,,
,,0.1914358,0.206629,0.4051526,0.685593,,,,,,,,,,,,,,,,,,,,,,,
,,0.1966065,0.221444,0.4114259,0.699337,,,,,,,,,,,,,,,,,,,,,,,
,,0.2035575,0.240489,0.4180385,0.713078,,,,,,,,,,,,,,,,,,,,,,,
,,0.2100847,0.258476,0.427195,0.727859,,,,,,,,,,,,,,,,,,,,,,,
,,0.2149165,0.271171,0.4360104,0.755378,,,,,,,,,,,,,,,,,,,,,,,
,,0.2216978,0.291278,0.4431326,0.763808,,,,,,,,,,,,,,,,,,,,,,,
,,0.227038,0.307153,0.4488125,0.776496,,,,,,,,,,,,,,,,,,,,,,,
,,0.2339888,0.327259,0.4573745,0.79765,,,,,,,,,,,,,,,,,,,,,,,
,,0.2399226,0.343128,0.4645802,0.81457,,,,,,,,,,,,,,,,,,,,,,,
,,0.2450097,0.350514,0.4724634,0.837852,,,,,,,,,,,,,,,,,,,,,,,
,,0.2503504,0.363205,0.4793302,0.852652,,,,,,,,,,,,,,,,,,,,,,,
,,0.2573019,0.379065,0.4861121,0.868514,,,,,,,,,,,,,,,,,,,,,,,
,,0.2628964,0.395999,0.4923851,0.884381,,,,,,,,,,,,,,,,,,,,,,,
,,0.2712037,0.418216,0.5,0.900248,,,,,,,,,,,,,,,,,,,,,,,
,,0.2790887,0.429824,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2858699,0.449931,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2914652,0.461558,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.297231,0.466816,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3040965,0.490107,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.311133,0.504905,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3166431,0.518656,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3239338,0.534514,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3284273,0.541905,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3351239,0.560952,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3414828,0.569388,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3478416,0.578886,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3564873,0.607469,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3636944,0.614837,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3694591,0.627523,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3750549,0.635967,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.3804804,0.648656,,,,,,,,,,,,,,,,,,,,,,,,,
