X:0.1,Y:0.1,X:0.02,Y:0.02,X:0.04,Y:0.04,,,,,,,,,,,,,,,,,,,,,,,ID
0.4440276,0.631406,0.3008044,0.462528,0.3342824,0.490389,,,,,,,,,,,,,,,,,,,,,,,
0.4512882,0.622988,0.3113036,0.486462,0.3471945,0.520383,,,,,,,,,,,,,,,,,,,,,,,
0.4593528,0.5978,0.3247631,0.511593,0.3584933,0.541983,,,,,,,,,,,,,,,,,,,,,,,
0.4633828,0.571433,0.3368767,0.534331,0.3700597,0.573172,,,,,,,,,,,,,,,,,,,,,,,
0.4676805,0.537879,0.3489908,0.559461,0.3813589,0.592375,,,,,,,,,,,,,,,,,,,,,,,
0.4730517,0.489949,0.3567973,0.573822,0.3948102,0.616377,,,,,,,,,,,,,,,,,,,,,,,
0.4746588,0.450421,0.3683727,0.596559,0.406378,0.639176,,,,,,,,,,,,,,,,,,,,,,,
0.4778793,0.408489,0.379678,0.613313,0.4163315,0.659575,,,,,,,,,,,,,,,,,,,,,,,
0.4813668,0.35458,0.3907146,0.632461,0.4284388,0.673986,,,,,,,,,,,,,,,,,,,,,,,
0.4827043,0.31146,0.398791,0.651608,0.4397399,0.682402,,,,,,,,,,,,,,,,,,,,,,,
0.4843094,0.259955,0.4109038,0.669559,0.4548113,0.674049,,,,,,,,,,,,,,,,,,,,,,,
0.4864497,0.191682,0.4195176,0.683919,0.4610046,0.651292,,,,,,,,,,,,,,,,,,,,,,,
0.4888614,0.138976,0.428938,0.693493,0.4669326,0.605763,,,,,,,,,,,,,,,,,,,,,,,
0.492884,0.068298,0.4394339,0.69828,0.4725931,0.550646,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.019183,0.4496596,0.695886,0.47718,0.478747,,,,,,,,,,,,,,,,,,,,,,,
,,0.4563842,0.677936,0.4801541,0.396057,,,,,,,,,,,,,,,,,,,,,,,
,,0.4633755,0.645625,0.4836627,0.334942,,,,,,,,,,,,,,,,,,,,,,,
,,0.4687514,0.608527,0.4839391,0.291797,,,,,,,,,,,,,,,,,,,,,,,
,,0.4711668,0.569035,0.4852949,0.230676,,,,,,,,,,,,,,,,,,,,,,,
,,0.4746575,0.52356,0.4871861,0.186336,,,,,,,,,,,,,,,,,,,,,,,
,,0.4768031,0.480479,0.4896197,0.116829,,,,,,,,,,,,,,,,,,,,,,,
,,0.4786786,0.431414,0.492589,0.062904,,,,,,,,,,,,,,,,,,,,,,,
,,0.4816281,0.367988,0.4960942,0.022163,,,,,,,,,,,,,,,,,,,,,,,
,,0.4837697,0.300972,0.5,-0.000601,,,,,,,,,,,,,,,,,,,,,,,
,,0.4853765,0.254301,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4869829,0.205236,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4891279,0.158564,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4915418,0.110696,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4931477,0.059237,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4952948,0.024533,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.5,0.001795,,,,,,,,,,,,,,,,,,,,,,,,,
