X:0.1,Y:0.1,X:0.02,Y:0.02,X:0.04,Y:0.04,,,,,,,,,,,,,,,,,,,,,,,ID
0.4976506,1.20316,0.4608045,12.37767,0.4683406,9.56197,,,,,,,,,,,,,,,,,,,,,,,
0.4992125,0.57224,0.4649304,11.87889,0.47298,8.65261,,,,,,,,,,,,,,,,,,,,,,,
0.5,8.00E-06,0.4693141,11.20415,0.477103,7.7726,,,,,,,,,,,,,,,,,,,,,,,
,,0.4734399,10.44144,0.4796766,6.966,,,,,,,,,,,,,,,,,,,,,,,
,,0.47705,9.70809,0.4830261,6.218,,,,,,,,,,,,,,,,,,,,,,,
,,0.4798865,8.87215,0.4850838,5.48475,,,,,,,,,,,,,,,,,,,,,,,
,,0.4816916,8.16823,0.4881743,4.69278,,,,,,,,,,,,,,,,,,,,,,,
,,0.4850438,7.21495,0.4907479,3.88617,,,,,,,,,,,,,,,,,,,,,,,
,,0.4868489,6.23244,0.4925487,3.27023,,,,,,,,,,,,,,,,,,,,,,,
,,0.4889118,5.44053,0.4938324,2.625,,,,,,,,,,,,,,,,,,,,,,,
,,0.4896854,4.72201,0.4961489,1.92105,,,,,,,,,,,,,,,,,,,,,,,
,,0.4927798,3.91538,0.4984648,1.17311,,,,,,,,,,,,,,,,,,,,,,,
,,0.4935534,3.15287,0.500517,0.01463,,,,,,,,,,,,,,,,,,,,,,,
,,0.4956163,2.229,0.5,0.5718,,,,,,,,,,,,,,,,,,,,,,,
,,0.4969056,1.33449,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.5,0.64525,,,,,,,,,,,,,,,,,,,,,,,,,
