# Region type : patch outerCylinder
# Faces  :    4000
# Area   :    1.570393e-01
# Time        	areaNormalIntegrate(wallShearStress)
12.8          	(-2.317985e-04 0.000000e+00 0.000000e+00)
12.9          	(-1.965133e-04 0.000000e+00 0.000000e+00)
13            	(-2.694237e-04 0.000000e+00 0.000000e+00)
13.1          	(-3.137132e-04 0.000000e+00 0.000000e+00)
13.2          	(-3.467160e-04 0.000000e+00 0.000000e+00)
13.3          	(-2.187819e-04 0.000000e+00 0.000000e+00)
13.4          	(-2.472995e-04 0.000000e+00 0.000000e+00)
13.5          	(-2.814131e-04 0.000000e+00 0.000000e+00)
13.6          	(-2.277871e-04 0.000000e+00 0.000000e+00)
13.7          	(-2.211449e-04 0.000000e+00 0.000000e+00)
13.8          	(-2.471250e-04 0.000000e+00 0.000000e+00)
13.9          	(-2.870267e-04 0.000000e+00 0.000000e+00)
14            	(-1.699562e-04 0.000000e+00 0.000000e+00)
14.1          	(-2.554184e-04 0.000000e+00 0.000000e+00)
14.2          	(-2.028463e-04 0.000000e+00 0.000000e+00)
14.3          	(-2.059669e-04 0.000000e+00 0.000000e+00)
14.4          	(-2.827212e-04 0.000000e+00 0.000000e+00)
14.5          	(-2.513364e-04 0.000000e+00 0.000000e+00)
14.6          	(-2.218479e-04 0.000000e+00 0.000000e+00)
14.7          	(-2.588883e-04 0.000000e+00 0.000000e+00)
14.8          	(-2.609467e-04 0.000000e+00 0.000000e+00)
14.9          	(-2.377362e-04 0.000000e+00 0.000000e+00)
15            	(-2.767040e-04 0.000000e+00 0.000000e+00)
